trip_id,route_id,service_id,trip_headsign,block_id,shape_id
914,29,1,Outbound,1421,167
799,11,2,Inbound,7481,68
706,14,2,Outbound,6081,0
136,4,1,Inbound,3091,51
1819,48,1,Outbound,1261,10
374,11,1,Inbound,1461,68
687,6,2,Outbound,7231,74
637,2,2,Outbound,7431,43
557,26,1,Outbound,1071,54
167,5,1,Outbound,1322,107
497,21,1,Inbound,1011,127
1791,48,1,Outbound,1181,10
142,4,1,Inbound,1021,51
561,26,1,Outbound,1392,116
19,1,1,Outbound,2611,45
332,9,1,Outbound,2571,44
135,4,1,Inbound,1081,51
677,4,2,Inbound,8611,51
837,9,2,Inbound,7271,1
823,32,2,Inbound,7171,64
15,1,1,Outbound,1352,45
693,4,2,Inbound,7271,51
643,2,2,Outbound,6051,43
343,9,1,Inbound,1181,1
60,2,1,Outbound,1191,43
609,32,1,Inbound,1021,66
870,1,2,Inbound,7421,40
196,5,1,Inbound,4231,4
1816,48,1,Inbound,2661,9
143,4,1,Inbound,1111,51
168,5,1,Outbound,1261,107
550,25,1,Inbound,4131,57
780,11,2,Outbound,7481,69
680,4,2,Inbound,7531,51
26,1,1,Outbound,2641,45
27,1,1,Outbound,2571,45
566,26,1,Inbound,1351,156
1822,48,1,Inbound,1452,9
486,19,1,Inbound,1201,82
253,7,1,Inbound,1221,96
630,36,1,Outbound,3081,147
97,2,1,Inbound,1502,38
1992,54,1,Outbound,1251,48
407,13,1,Outbound,4051,79
279,8,1,Outbound,1512,15
285,8,1,Outbound,2611,15
772,8,2,Inbound,8601,109
431,14,1,Outbound,2551,0
620,32,1,Outbound,1021,105
476,19,1,Outbound,1201,2
330,9,1,Outbound,1251,44
314,8,1,Inbound,1512,109
567,26,1,Inbound,1151,119
1827,11,1,Outbound,1461,69
170,5,1,Outbound,1472,91
1815,48,1,Outbound,2661,10
158,4,1,Inbound,4141,51
665,2,2,Inbound,7531,37
1776,26,1,Outbound,1482,53
532,25,1,Outbound,1091,162
445,16,1,Inbound,1341,35
252,7,1,Inbound,1221,96
161,5,1,Outbound,1091,150
64,2,1,Outbound,1161,43
647,4,2,Outbound,7511,36
107,2,1,Inbound,2661,38
619,32,1,Outbound,1531,12
676,4,2,Inbound,7211,51
549,25,1,Inbound,1392,56
1984,27,1,Outbound,2561,170
757,8,2,Inbound,7421,109
41,1,1,Inbound,1201,40
649,4,2,Outbound,7381,36
162,5,1,Outbound,1411,150
613,32,1,Inbound,1472,65
345,9,1,Inbound,1251,1
871,1,2,Inbound,7431,40
836,9,2,Inbound,7401,1
765,8,2,Inbound,7251,109
2,1,1,Outbound,1101,45
275,8,1,Outbound,1522,15
485,19,1,Inbound,1131,82
317,8,1,Inbound,1522,131
994,6,1,Inbound,2641,61
439,14,1,Inbound,2661,8
325,9,1,Outbound,1051,44
926,45,1,Inbound,1091,129
598,55,1,Outbound,4211,20
862,1,2,Outbound,7151,45
93,2,1,Inbound,1021,38
814,5,2,Inbound,6051,4
531,25,1,Outbound,1491,163
932,19,2,Inbound,7501,82
202,6,1,Outbound,1121,108
1995,54,1,Inbound,1501,49
868,1,2,Outbound,6011,45
77,2,1,Outbound,2671,43
403,13,1,Outbound,1201,80
265,8,1,Outbound,1071,159
869,1,2,Inbound,7381,40
67,2,1,Outbound,1071,43
83,2,1,Inbound,1471,38
833,19,2,Inbound,7251,82
166,5,1,Outbound,1161,107
803,11,2,Inbound,8271,68
901,23,1,Inbound,1041,149
227,6,1,Inbound,4061,120
636,2,2,Outbound,7531,43
830,32,2,Outbound,7251,12
726,6,2,Inbound,7231,142
331,9,1,Outbound,1091,44
211,6,1,Outbound,2611,117
262,7,1,Inbound,2651,96
271,8,1,Outbound,1141,15
261,7,1,Inbound,1261,96
21,1,1,Outbound,2611,45
187,5,1,Inbound,1161,4
409,13,1,Inbound,3071,83
669,2,2,Inbound,7531,37
985,5,1,Inbound,2571,4
602,55,1,Inbound,2571,141
530,25,1,Outbound,1101,163
541,25,1,Inbound,3101,121
417,13,1,Inbound,1201,125
696,14,2,Outbound,7431,0
130,4,1,Outbound,1452,36
936,53,1,Outbound,1462,73
681,6,2,Outbound,7541,74
447,16,1,Outbound,2621,33
839,9,2,Inbound,8381,1
57,2,1,Outbound,3051,43
714,14,2,Inbound,8601,8
471,18,1,Inbound,2672,46
798,11,2,Inbound,7231,68
477,19,1,Outbound,1462,2
787,55,2,Outbound,7221,90
178,5,1,Inbound,1091,22
216,6,1,Inbound,1121,120
125,4,1,Outbound,1452,36
664,2,2,Inbound,8551,37
214,6,1,Inbound,1031,61
208,6,1,Outbound,4061,108
